market_class,market_class_label,country_iso3,gics_code,sector,period,monthly_returns,first_return_month,last_return_month,efficiency_score,inefficiency_distance,vr_2m,vr_3m,vr_6m
emerging,Developing (MSCI Emerging proxy),ARE,40,Financials,2008-2010,36,2008-01-31,2010-12-31,-0.31635756864799114,1.3163575686479911,1.6392736904902871,2.192559473611737,3.117239541841949
emerging,Developing (MSCI Emerging proxy),ARE,40,Financials,2020-2021,24,2020-01-31,2021-12-31,0.9237332270462691,0.07626677295373085,1.017507567396905,1.166432456217098,0.9551397047528105
emerging,Developing (MSCI Emerging proxy),ARE,20,Industrials,2020-2021,24,2020-01-31,2021-12-31,0.5201781452003318,0.4798218547996682,0.5953865881278237,0.4762903631047805,0.4888574843683913
emerging,Developing (MSCI Emerging proxy),ARE,60,Real Estate,2020-2021,24,2020-01-31,2021-12-31,0.9065636786596988,0.09343632134030122,0.9879334866612901,1.0809534469605675,0.8127109962783736
emerging,Developing (MSCI Emerging proxy),ARE,40,Financials,2022-2025,48,2022-01-31,2025-12-31,0.8949098487756668,0.10509015122433318,0.9526594764261646,0.9458986670267359,0.7861714028741001
emerging,Developing (MSCI Emerging proxy),ARE,20,Industrials,2022-2025,48,2022-01-31,2025-12-31,0.9420966025474026,0.05790339745259743,1.01838383225164,1.0906208442678402,1.0647055158383119
developed,Developed,AUS,30,Consumer Staples,2008-2010,36,2008-01-31,2010-12-31,0.22079308349117477,0.7792069165088252,1.3140604174967123,1.5479527419841879,2.4756075900455756
developed,Developed,AUS,45,Information Technology,2008-2010,36,2008-01-31,2010-12-31,0.2716360233413888,0.7283639766586112,1.2511006396644742,1.521553083141453,2.4124382071699064
developed,Developed,AUS,10,Energy,2008-2010,36,2008-01-31,2010-12-31,0.3740359320204698,0.6259640679795302,1.3116289772121181,1.5228087316013355,2.043454495125137
developed,Developed,AUS,25,Consumer Discretionary,2008-2010,36,2008-01-31,2010-12-31,0.11181585422852758,0.8881841457714724,1.380675118101492,1.601063521339197,2.6828137978737283
developed,Developed,AUS,40,Financials,2008-2010,36,2008-01-31,2010-12-31,0.12066494636794367,0.8793350536320563,1.379491057850705,1.5976601474760679,2.660853955569396
developed,Developed,AUS,20,Industrials,2008-2010,36,2008-01-31,2010-12-31,0.22667474583175895,0.773325254168241,1.3566793987363113,1.5216396243705903,2.4416567393978217
developed,Developed,AUS,15,Materials,2008-2010,36,2008-01-31,2010-12-31,0.22677018740911326,0.7732298125908867,1.3511479436800526,1.618435166660566,2.3501063274320417
developed,Developed,AUS,35,Health Care,2008-2010,36,2008-01-31,2010-12-31,0.3386342367222315,0.6613657632777685,1.3297649240449751,1.43392960282439,2.2204027629639405
developed,Developed,AUS,50,Communication Services,2008-2010,36,2008-01-31,2010-12-31,0.6900202135219011,0.3099797864780989,1.0322534044423197,1.11200811399083,1.7856778410011467
developed,Developed,AUS,55,Utilities,2008-2010,36,2008-01-31,2010-12-31,0.22327643701526645,0.7767235629847336,1.30560856361161,1.5700473567824338,2.454514768560157
developed,Developed,AUS,30,Consumer Staples,2020-2021,24,2020-01-31,2021-12-31,0.7414727221099442,0.2585272778900558,1.1478328027083025,1.1132407994268185,0.4854917684649535
developed,Developed,AUS,45,Information Technology,2020-2021,24,2020-01-31,2021-12-31,0.8830341309003573,0.11696586909964268,1.075230729120081,0.9926610229486634,0.7316720988724896
developed,Developed,AUS,10,Energy,2020-2021,24,2020-01-31,2021-12-31,0.7849088636092335,0.2150911363907665,1.0557065059828563,0.9184313746548994,0.4920017221556575
developed,Developed,AUS,25,Consumer Discretionary,2020-2021,24,2020-01-31,2021-12-31,0.822020444412734,0.17797955558726597,1.0785218323245618,1.04625116127782,0.5908343268405839
developed,Developed,AUS,40,Financials,2020-2021,24,2020-01-31,2021-12-31,0.8123857169173748,0.18761428308262518,1.1273153578649935,1.1321439625888834,0.6966164712060012
developed,Developed,AUS,20,Industrials,2020-2021,24,2020-01-31,2021-12-31,0.799008572704548,0.20099142729545205,1.0384024066667459,0.9459076357027313,0.4895204890776583
developed,Developed,AUS,15,Materials,2020-2021,24,2020-01-31,2021-12-31,0.7706033909784885,0.2293966090215115,1.182122988734487,1.1203852764509885,0.614318438120941
developed,Developed,AUS,35,Health Care,2020-2021,24,2020-01-31,2021-12-31,0.7510390239917213,0.2489609760082787,1.0814697886317899,0.885730821541983,0.4488560390649708
developed,Developed,AUS,50,Communication Services,2020-2021,24,2020-01-31,2021-12-31,0.6788501627538943,0.3211498372461057,1.205655556407513,1.0826629726405008,0.3248690173096967
