market_class,market_class_label,period,gics_code,sector,country_count,countries_iso3,mean_efficiency_score,population_sd_country_scores,mean_vr_2m,mean_vr_3m,mean_vr_6m
developed,Developed,2008-2010,10,Energy,9,"AUS,CAN,DEU,GBR,HKG,JPN,NOR,SGP,USA",0.4702341794628164,0.23340165692311146,1.2267718449229659,1.4469128157916213,1.8855875539890836
developed,Developed,2008-2010,15,Materials,15,"AUS,BEL,CAN,CHE,DEU,ESP,FRA,GBR,HKG,ISR,ITA,JPN,SGP,SWE,USA",0.3612212136754458,0.27319850296981957,1.2791346307939924,1.4717952577602846,2.157472976907168
developed,Developed,2008-2010,20,Industrials,21,"AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NLD,NOR,NZL,SGP,SWE,USA",0.3431724932835885,0.19996122260085214,1.3004266723201534,1.4525836597324056,2.217472188096675
developed,Developed,2008-2010,25,Consumer Discretionary,21,"AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NLD,NZL,PRT,SGP,SWE,USA",0.29257502409034597,0.2743516110550156,1.2789906776352147,1.469028549240942,2.327635631697568
developed,Developed,2008-2010,30,Consumer Staples,16,"AUS,BEL,CAN,CHE,DEU,FRA,GBR,HKG,ISR,ITA,JPN,NOR,NZL,SGP,SWE,USA",0.41084803858231744,0.24897494880398496,1.2485145620603773,1.4194772844235128,2.099464037769158
developed,Developed,2008-2010,35,Health Care,17,"AUS,BEL,CAN,CHE,DEU,DNK,ESP,FRA,GBR,HKG,ISR,ITA,JPN,NOR,SGP,SWE,USA",0.5564345534428031,0.3351427480343702,1.1844033893473298,1.2774255286831568,1.7966359437267865
developed,Developed,2008-2010,40,Financials,21,"AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NLD,NOR,NZL,SGP,SWE,USA",0.33505969763864707,0.28744282353250167,1.3111592098862541,1.4551486173593928,2.228513079838412
developed,Developed,2008-2010,45,Information Technology,18,"AUS,BEL,CAN,CHE,DEU,DNK,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NLD,NOR,SGP,SWE,USA",0.4073783406299951,0.27286873561640057,1.255302433680247,1.419764901493509,2.0896476103156933
developed,Developed,2008-2010,50,Communication Services,6,"AUS,CAN,GBR,HKG,JPN,USA",0.5585574544756985,0.2252424540437888,1.17711552561498,1.2564405561969614,1.72839550090364
developed,Developed,2008-2010,55,Utilities,9,"AUS,CAN,DEU,FRA,GBR,HKG,ITA,JPN,USA",0.52657556191079,0.25405659809765685,1.1936428469873017,1.2933592762327026,1.7729774147175974
developed,Developed,2020-2021,10,Energy,10,"AUS,CAN,FRA,GBR,HKG,ISR,JPN,NOR,SGP,USA",0.830114357459186,0.13211608257254873,1.1154352292184175,1.0632182937415,0.9285780347939205
developed,Developed,2020-2021,15,Materials,15,"AUS,BEL,CAN,CHE,DEU,ESP,FRA,GBR,HKG,ISR,ITA,JPN,SGP,SWE,USA",0.7410880600436683,0.1165345247174481,1.1618883207974817,1.1819025756682278,1.0759804449405308
developed,Developed,2020-2021,20,Industrials,21,"AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NLD,NOR,NZL,SGP,SWE,USA",0.751918554456218,0.12908638366008052,1.156116112058552,1.1502149252219682,0.964798651282169
developed,Developed,2020-2021,25,Consumer Discretionary,18,"AUS,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NLD,NZL,SGP,SWE,USA",0.7658517389073141,0.17943240867280394,1.1492913017907196,1.1762022131699124,1.1068082088041264
developed,Developed,2020-2021,30,Consumer Staples,16,"AUS,BEL,CAN,CHE,DEU,FRA,GBR,HKG,ISR,ITA,JPN,NOR,NZL,SGP,SWE,USA",0.7824407690821246,0.06407354475957235,1.0794421517548405,1.0200326474402954,0.7798508646711477
developed,Developed,2020-2021,35,Health Care,18,"AUS,BEL,CAN,CHE,DEU,DNK,ESP,FRA,GBR,HKG,ISR,ITA,JPN,NOR,NZL,SGP,SWE,USA",0.7341949953904428,0.17618979513091326,1.004884831198218,0.9547992268060478,0.776609335965177
developed,Developed,2020-2021,40,Financials,17,"AUS,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NOR,SGP,SWE,USA",0.78117475242984,0.06890184617851358,1.1155902274082135,1.1354237740482678,0.9291278094660811
developed,Developed,2020-2021,45,Information Technology,18,"AUS,CAN,CHE,DEU,DNK,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NLD,NOR,NZL,SGP,SWE,USA",0.7389517092800723,0.14145355129193635,1.1438392453294663,1.0627004342512443,0.7431223817866024
developed,Developed,2020-2021,50,Communication Services,12,"AUS,CAN,DEU,FRA,GBR,HKG,ISR,ITA,JPN,SGP,SWE,USA",0.6606078260383913,0.24853379657138572,1.187055263619974,1.244475977546895,1.191438252673798
developed,Developed,2020-2021,55,Utilities,8,"AUS,CAN,DEU,GBR,HKG,ITA,JPN,USA",0.7595384917990737,0.0812566714644871,0.9618625140157738,0.9047291106774278,0.6078794019249143
developed,Developed,2020-2021,60,Real Estate,16,"AUS,BEL,CAN,CHE,DEU,DNK,ESP,FRA,GBR,HKG,ISR,ITA,JPN,SGP,SWE,USA",0.8171676574105776,0.07546254667118416,1.0466860784539065,1.0362801329238667,0.8218955203693312
developed,Developed,2022-2025,10,Energy,10,"AUS,CAN,FRA,GBR,HKG,ISR,JPN,NOR,SGP,USA",0.7302015676618214,0.13007624478334343,0.8179496800955036,0.766064668629918,0.6196846361944934
developed,Developed,2022-2025,15,Materials,15,"AUS,BEL,CAN,CHE,DEU,FRA,GBR,HKG,ISR,ITA,JPN,NOR,SGP,SWE,USA",0.8392550915482528,0.15829990803387195,0.963627973883624,0.9628016283896269,1.0365828958890013
developed,Developed,2022-2025,20,Industrials,21,"AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NLD,NOR,NZL,SGP,SWE,USA",0.801573244721634,0.1320188743312751,0.9732812197083403,0.9348277405841395,1.0239226140501871
developed,Developed,2022-2025,25,Consumer Discretionary,15,"AUS,CAN,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,SGP,SWE,USA",0.837382359386951,0.10069505634027345,1.0199045537797815,0.9630192184698196,0.978908521924895
developed,Developed,2022-2025,30,Consumer Staples,16,"AUS,BEL,CAN,CHE,DEU,FRA,GBR,HKG,ISR,ITA,JPN,NOR,NZL,SGP,SWE,USA",0.8090484327758788,0.12401034332033764,1.0337848343439564,0.9643804739404571,0.9125536216683596
developed,Developed,2022-2025,35,Health Care,19,"AUS,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NOR,NZL,SGP,SWE,USA",0.8432933405012001,0.08646572827232184,1.0105146872044317,0.9668829855706708,0.9871164764053117
developed,Developed,2022-2025,40,Financials,17,"AUS,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,ISR,ITA,JPN,NOR,SGP,SWE,USA",0.8205820911287458,0.08478193274526441,0.9459242499852782,0.972304198633429,1.0231416347657365
